"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Bell County, TX"	"48027"	"Jan., 2016"	"2016/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2014"	"2014/01"	"45-54 years"	"45-54"	15	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2014"	"2014/01"	"55-64 years"	"55-64"	24	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2014"	"2014/01"	"65-74 years"	"65-74"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2014"	"2014/01"	"75-84 years"	"75-84"	33	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2014"	"2014/01"	"85+ years"	"85+"	39	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2014"	"2014/02"	"55-64 years"	"55-64"	17	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2014"	"2014/02"	"65-74 years"	"65-74"	16	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2014"	"2014/02"	"75-84 years"	"75-84"	28	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2014"	"2014/02"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2014"	"2014/03"	"55-64 years"	"55-64"	13	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2014"	"2014/03"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2014"	"2014/03"	"75-84 years"	"75-84"	26	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2014"	"2014/03"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 2014"	"2014/04"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 2014"	"2014/04"	"85+ years"	"85+"	24	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2014"	"2014/05"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2014"	"2014/05"	"75-84 years"	"75-84"	21	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2014"	"2014/05"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2014"	"2014/06"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2014"	"2014/06"	"75-84 years"	"75-84"	22	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2014"	"2014/06"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2014"	"2014/07"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2014"	"2014/07"	"65-74 years"	"65-74"	18	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2014"	"2014/07"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2014"	"2014/07"	"85+ years"	"85+"	18	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Aug., 2014"	"2014/08"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Aug., 2014"	"2014/08"	"65-74 years"	"65-74"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Aug., 2014"	"2014/08"	"75-84 years"	"75-84"	25	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Aug., 2014"	"2014/08"	"85+ years"	"85+"	30	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Sep., 2014"	"2014/09"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Sep., 2014"	"2014/09"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Sep., 2014"	"2014/09"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Sep., 2014"	"2014/09"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Oct., 2014"	"2014/10"	"65-74 years"	"65-74"	17	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Oct., 2014"	"2014/10"	"75-84 years"	"75-84"	29	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Oct., 2014"	"2014/10"	"85+ years"	"85+"	18	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Nov., 2014"	"2014/11"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Nov., 2014"	"2014/11"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Nov., 2014"	"2014/11"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Nov., 2014"	"2014/11"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Dec., 2014"	"2014/12"	"65-74 years"	"65-74"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Dec., 2014"	"2014/12"	"75-84 years"	"75-84"	27	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Dec., 2014"	"2014/12"	"85+ years"	"85+"	26	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2015"	"2015/01"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2015"	"2015/01"	"65-74 years"	"65-74"	29	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2015"	"2015/01"	"75-84 years"	"75-84"	52	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2015"	"2015/01"	"85+ years"	"85+"	60	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2015"	"2015/02"	"55-64 years"	"55-64"	13	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2015"	"2015/02"	"65-74 years"	"65-74"	16	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2015"	"2015/02"	"75-84 years"	"75-84"	21	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2015"	"2015/02"	"85+ years"	"85+"	35	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2015"	"2015/03"	"55-64 years"	"55-64"	17	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2015"	"2015/03"	"65-74 years"	"65-74"	27	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2015"	"2015/03"	"75-84 years"	"75-84"	36	Not Applicable	Not Applicable
