"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alameda County, CA"	"06001"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	32	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 1999"	"1999/02"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	33	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	17	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	16	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	22	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"May, 1999"	"1999/05"	"85+ years"	"85+"	16	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jun., 1999"	"1999/06"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jun., 1999"	"1999/06"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jul., 1999"	"1999/07"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jul., 1999"	"1999/07"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Aug., 1999"	"1999/08"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Aug., 1999"	"1999/08"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Sep., 1999"	"1999/09"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Sep., 1999"	"1999/09"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Nov., 1999"	"1999/11"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Nov., 1999"	"1999/11"	"85+ years"	"85+"	20	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Dec., 1999"	"1999/12"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Dec., 1999"	"1999/12"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	51	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Dec., 1999"	"1999/12"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 2000"	"2000/01"	"55-64 years"	"55-64"	13	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 2000"	"2000/01"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	50	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	53	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 2000"	"2000/02"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 2000"	"2000/02"	"65-74 years"	"65-74"	20	Not Applicable	Not Applicable
