"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Barnstable County, MA"	"25001"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 1999"	"1999/01"			35	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 1999"	"1999/02"			37	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 1999"	"1999/03"			39	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 1999"	"1999/04"			15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 1999"	"1999/05"			15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 1999"	"1999/06"			11	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jul., 1999"	"1999/07"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 1999"	"1999/07"			22	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 1999"	"1999/08"			17	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 1999"	"1999/09"			11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 1999"	"1999/10"			18	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 1999"	"1999/11"			15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 1999"	"1999/12"			17	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2000"	"2000/01"			32	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2000"	"2000/02"			18	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2000"	"2000/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2000"	"2000/03"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 2000"	"2000/03"			36	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 2000"	"2000/04"			16	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"May, 2000"	"2000/05"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 2000"	"2000/05"			22	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 2000"	"2000/06"			21	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jul., 2000"	"2000/07"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 2000"	"2000/07"			30	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Aug., 2000"	"2000/08"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 2000"	"2000/08"			23	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 2000"	"2000/09"			21	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 2000"	"2000/10"			16	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Nov., 2000"	"2000/11"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 2000"	"2000/11"			28	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 2000"	"2000/12"			17	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2001"	"2001/01"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2001"	"2001/01"			25	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2001"	"2001/02"	"85+ years"	"85+"	16	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2001"	"2001/02"			30	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2001"	"2001/03"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2001"	"2001/03"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 2001"	"2001/03"			38	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 2001"	"2001/04"			20	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"May, 2001"	"2001/05"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 2001"	"2001/05"			26	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2001"	"2001/06"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 2001"	"2001/06"			25	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 2001"	"2001/07"			17	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 2001"	"2001/08"			15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 2001"	"2001/09"			16	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Oct., 2001"	"2001/10"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 2001"	"2001/10"			27	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Nov., 2001"	"2001/11"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 2001"	"2001/11"			19	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2001"	"2001/12"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2001"	"2001/12"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 2001"	"2001/12"			31	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2002"	"2002/01"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2002"	"2002/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2002"	"2002/01"			29	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2002"	"2002/02"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2002"	"2002/02"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2002"	"2002/02"			26	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2002"	"2002/03"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2002"	"2002/03"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 2002"	"2002/03"			30	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 2002"	"2002/04"			20	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 2002"	"2002/05"			20	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2002"	"2002/06"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2002"	"2002/06"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 2002"	"2002/06"			28	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jul., 2002"	"2002/07"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 2002"	"2002/07"			20	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Aug., 2002"	"2002/08"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 2002"	"2002/08"			27	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Sep., 2002"	"2002/09"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 2002"	"2002/09"			21	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 2002"	"2002/10"			21	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Nov., 2002"	"2002/11"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 2002"	"2002/11"			23	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2002"	"2002/12"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 2002"	"2002/12"			20	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2003"	"2003/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2003"	"2003/01"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2003"	"2003/01"			27	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2003"	"2003/02"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2003"	"2003/02"			25	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2003"	"2003/03"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 2003"	"2003/03"			24	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 2003"	"2003/04"			17	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"May, 2003"	"2003/05"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 2003"	"2003/05"			25	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2003"	"2003/06"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2003"	"2003/06"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 2003"	"2003/06"			29	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 2003"	"2003/07"			18	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Aug., 2003"	"2003/08"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 2003"	"2003/08"			23	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 2003"	"2003/09"			21	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Oct., 2003"	"2003/10"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 2003"	"2003/10"			20	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Nov., 2003"	"2003/11"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 2003"	"2003/11"			22	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2003"	"2003/12"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2003"	"2003/12"	"85+ years"	"85+"	20	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 2003"	"2003/12"			45	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2004"	"2004/01"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2004"	"2004/01"	"85+ years"	"85+"	20	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2004"	"2004/01"			48	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2004"	"2004/02"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2004"	"2004/02"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2004"	"2004/02"			34	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2004"	"2004/03"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Mar., 2004"	"2004/03"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Mar., 2004"	"2004/03"			28	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Apr., 2004"	"2004/04"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Apr., 2004"	"2004/04"			23	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"May, 2004"	"2004/05"			17	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jun., 2004"	"2004/06"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jun., 2004"	"2004/06"			22	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jul., 2004"	"2004/07"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jul., 2004"	"2004/07"			22	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Aug., 2004"	"2004/08"			14	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Sep., 2004"	"2004/09"			16	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Oct., 2004"	"2004/10"			14	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Nov., 2004"	"2004/11"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Nov., 2004"	"2004/11"			21	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2004"	"2004/12"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Dec., 2004"	"2004/12"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Dec., 2004"	"2004/12"			28	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2005"	"2005/01"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Jan., 2005"	"2005/01"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Jan., 2005"	"2005/01"			29	Not Applicable	Not Applicable
	"Barnstable County, MA"	"25001"	"Feb., 2005"	"2005/02"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Barnstable County, MA"	"25001"	"Feb., 2005"	"2005/02"			28	Not Applicable	Not Applicable
