"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Kent County, DE"	"10001"	"Jan., 1999"	"1999/01"			13	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Feb., 1999"	"1999/02"			18	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Mar., 1999"	"1999/03"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Apr., 1999"	"1999/04"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Jun., 1999"	"1999/06"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Oct., 1999"	"1999/10"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Feb., 2000"	"2000/02"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Mar., 2000"	"2000/03"			15	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Apr., 2000"	"2000/04"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Aug., 2000"	"2000/08"			13	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Nov., 2000"	"2000/11"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Dec., 2000"	"2000/12"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Feb., 2002"	"2002/02"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Mar., 2002"	"2002/03"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Dec., 2002"	"2002/12"			15	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Jan., 2003"	"2003/01"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Feb., 2003"	"2003/02"			12	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Mar., 2003"	"2003/03"			11	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"May, 2003"	"2003/05"			13	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Jan., 2004"	"2004/01"			18	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Feb., 2004"	"2004/02"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Mar., 2004"	"2004/03"			16	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Apr., 2004"	"2004/04"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Oct., 2004"	"2004/10"			10	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Nov., 2004"	"2004/11"			17	Not Applicable	Not Applicable
"Total"	"Kent County, DE"	"10001"	"Dec., 2004"	"2004/12"			10	Not Applicable	Not Applicable
