"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Atlantic County, NJ"	"34001"	"Jan., 1999"	"1999/01"			22	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Feb., 1999"	"1999/02"			26	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Mar., 1999"	"1999/03"			23	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Apr., 1999"	"1999/04"			16	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"May, 1999"	"1999/05"			17	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Jun., 1999"	"1999/06"			16	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Jul., 1999"	"1999/07"			12	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Sep., 1999"	"1999/09"			10	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Oct., 1999"	"1999/10"			22	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Nov., 1999"	"1999/11"			20	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Dec., 1999"	"1999/12"			24	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Jan., 2000"	"2000/01"			33	Not Applicable	Not Applicable
	"Atlantic County, NJ"	"34001"	"Feb., 2000"	"2000/02"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Feb., 2000"	"2000/02"			28	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Mar., 2000"	"2000/03"			26	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Apr., 2000"	"2000/04"			17	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Jun., 2000"	"2000/06"			16	Not Applicable	Not Applicable
"Total"	"Atlantic County, NJ"	"34001"	"Jul., 2000"	"2000/07"			13	Not Applicable	Not Applicable
