"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Allegan County, MI"	"26005"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Bay County, MI"	"26017"	"Mar., 2012"	"2012/03"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Feb., 2005"	"2005/02"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Mar., 2007"	"2007/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"May, 2012"	"2012/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Jan., 2013"	"2013/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Apr., 2013"	"2013/04"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Berrien County, MI"	"26021"	"Jan., 2015"	"2015/01"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Nov., 2002"	"2002/11"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jun., 2003"	"2003/06"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Dec., 2003"	"2003/12"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 2004"	"2004/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 2005"	"2005/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Apr., 2006"	"2006/04"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Dec., 2008"	"2008/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 2010"	"2010/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"Jan., 2015"	"2015/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Calhoun County, MI"	"26025"	"May, 2016"	"2016/05"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
