"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Belknap County, NH"	"33001"	"Jan., 2004"	"2004/01"			13	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Jan., 2005"	"2005/01"			10	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"May, 2005"	"2005/05"			10	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Aug., 2005"	"2005/08"			11	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Apr., 2008"	"2008/04"			10	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Mar., 2010"	"2010/03"			10	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Jan., 2013"	"2013/01"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Jan., 2013"	"2013/01"			22	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Mar., 2014"	"2014/03"			10	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Mar., 2016"	"2016/03"			11	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Feb., 2017"	"2017/02"			10	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"					1208	Not Applicable	Not Applicable
"Total"	"Carroll County, NH"	"33003"	"Jan., 2005"	"2005/01"			11	Not Applicable	Not Applicable
"Total"	"Carroll County, NH"	"33003"	"Nov., 2014"	"2014/11"			12	Not Applicable	Not Applicable
"Total"	"Carroll County, NH"	"33003"	"Jan., 2015"	"2015/01"			10	Not Applicable	Not Applicable
"Total"	"Carroll County, NH"	"33003"	"Nov., 2017"	"2017/11"			13	Not Applicable	Not Applicable
"Total"	"Carroll County, NH"	"33003"					913	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 1999"	"1999/03"			12	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Feb., 2001"	"2001/02"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2002"	"2002/01"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Feb., 2002"	"2002/02"			13	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 2002"	"2002/03"			17	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Dec., 2003"	"2003/12"			12	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2004"	"2004/01"			12	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 2006"	"2006/03"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 2007"	"2007/03"			13	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Apr., 2007"	"2007/04"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Feb., 2008"	"2008/02"			17	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 2008"	"2008/03"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Mar., 2009"	"2009/03"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2010"	"2010/01"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Apr., 2011"	"2011/04"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Dec., 2012"	"2012/12"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2013"	"2013/01"			12	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"May, 2013"	"2013/05"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2014"	"2014/01"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Jan., 2015"	"2015/01"			13	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Apr., 2015"	"2015/04"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Nov., 2015"	"2015/11"			14	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Apr., 2016"	"2016/04"			12	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Nov., 2016"	"2016/11"			11	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"	"Dec., 2016"	"2016/12"			10	Not Applicable	Not Applicable
"Total"	"Cheshire County, NH"	"33005"					1409	Not Applicable	Not Applicable
"Total"	"Coos County, NH"	"33007"	"Dec., 1999"	"1999/12"			11	Not Applicable	Not Applicable
"Total"	"Coos County, NH"	"33007"	"Jun., 2001"	"2001/06"			11	Not Applicable	Not Applicable
"Total"	"Coos County, NH"	"33007"	"Mar., 2008"	"2008/03"			10	Not Applicable	Not Applicable
"Total"	"Coos County, NH"	"33007"	"Apr., 2011"	"2011/04"			11	Not Applicable	Not Applicable
"Total"	"Coos County, NH"	"33007"					850	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jan., 2000"	"2000/01"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Oct., 2000"	"2000/10"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Dec., 2000"	"2000/12"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jun., 2003"	"2003/06"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jan., 2004"	"2004/01"			12	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Dec., 2004"	"2004/12"			12	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jan., 2005"	"2005/01"			15	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jun., 2005"	"2005/06"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Oct., 2006"	"2006/10"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Mar., 2007"	"2007/03"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Oct., 2007"	"2007/10"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Feb., 2008"	"2008/02"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Apr., 2008"	"2008/04"			17	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jan., 2009"	"2009/01"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Mar., 2009"	"2009/03"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Apr., 2009"	"2009/04"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Nov., 2009"	"2009/11"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Nov., 2010"	"2010/11"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Mar., 2011"	"2011/03"			12	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Sep., 2012"	"2012/09"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Dec., 2012"	"2012/12"			13	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Feb., 2013"	"2013/02"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Aug., 2013"	"2013/08"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Feb., 2014"	"2014/02"			13	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jan., 2015"	"2015/01"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Mar., 2015"	"2015/03"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"May, 2015"	"2015/05"			12	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Jun., 2016"	"2016/06"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Dec., 2016"	"2016/12"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Mar., 2017"	"2017/03"			13	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Apr., 2017"	"2017/04"			13	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Aug., 2017"	"2017/08"			11	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"	"Oct., 2017"	"2017/10"			10	Not Applicable	Not Applicable
"Total"	"Grafton County, NH"	"33009"					1401	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Hillsborough County, NH"	"33011"	"Jan., 1999"	"1999/01"			33	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Hillsborough County, NH"	"33011"	"Feb., 1999"	"1999/02"			30	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
"Total"	"Hillsborough County, NH"	"33011"	"Mar., 1999"	"1999/03"			31	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Hillsborough County, NH"	"33011"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Hillsborough County, NH"	"33011"	"Apr., 1999"	"1999/04"			31	Not Applicable	Not Applicable
