"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Bristol County, RI"	"44001"	"Mar., 1999"	"1999/03"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Dec., 2000"	"2000/12"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Jan., 2001"	"2001/01"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Apr., 2001"	"2001/04"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Mar., 2002"	"2002/03"			11	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Dec., 2007"	"2007/12"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Feb., 2008"	"2008/02"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"	"Jan., 2013"	"2013/01"			10	Not Applicable	Not Applicable
"Total"	"Bristol County, RI"	"44001"					1017	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Jan., 1999"	"1999/01"			17	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Feb., 1999"	"1999/02"			19	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Mar., 1999"	"1999/03"			18	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Apr., 1999"	"1999/04"			18	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"May, 1999"	"1999/05"			13	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Jun., 1999"	"1999/06"			15	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Jul., 1999"	"1999/07"			11	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Aug., 1999"	"1999/08"			11	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Sep., 1999"	"1999/09"			11	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Nov., 1999"	"1999/11"			10	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Dec., 1999"	"1999/12"			11	Not Applicable	Not Applicable
	"Kent County, RI"	"44003"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Kent County, RI"	"44003"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Jan., 2000"	"2000/01"			36	Not Applicable	Not Applicable
	"Kent County, RI"	"44003"	"Feb., 2000"	"2000/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Feb., 2000"	"2000/02"			21	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Mar., 2000"	"2000/03"			15	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"May, 2000"	"2000/05"			18	Not Applicable	Not Applicable
	"Kent County, RI"	"44003"	"Jun., 2000"	"2000/06"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Jun., 2000"	"2000/06"			19	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Aug., 2000"	"2000/08"			18	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Sep., 2000"	"2000/09"			13	Not Applicable	Not Applicable
"Total"	"Kent County, RI"	"44003"	"Oct., 2000"	"2000/10"			22	Not Applicable	Not Applicable
