"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 1999"	"1999/01"			12	Not Applicable	Not Applicable
	"Androscoggin County, ME"	"23001"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 1999"	"1999/02"			24	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 1999"	"1999/03"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 1999"	"1999/04"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 1999"	"1999/05"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jul., 1999"	"1999/07"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 1999"	"1999/12"			16	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2000"	"2000/01"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2000"	"2000/02"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2000"	"2000/03"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2000"	"2000/04"			16	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 2000"	"2000/05"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jul., 2000"	"2000/07"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2001"	"2001/02"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2001"	"2001/03"			19	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2001"	"2001/04"			17	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 2001"	"2001/05"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jun., 2001"	"2001/06"			12	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Nov., 2001"	"2001/11"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 2001"	"2001/12"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2002"	"2002/01"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2002"	"2002/02"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2002"	"2002/04"			15	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 2002"	"2002/05"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 2002"	"2002/12"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2003"	"2003/02"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jun., 2003"	"2003/06"			17	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jul., 2003"	"2003/07"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Oct., 2003"	"2003/10"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 2003"	"2003/12"			15	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2004"	"2004/01"			22	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2004"	"2004/02"			10	Not Applicable	Not Applicable
	"Androscoggin County, ME"	"23001"	"Mar., 2004"	"2004/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2004"	"2004/03"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Oct., 2004"	"2004/10"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2005"	"2005/01"			21	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2005"	"2005/02"			12	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2005"	"2005/03"			12	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2005"	"2005/04"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 2005"	"2005/05"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jun., 2005"	"2005/06"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Sep., 2005"	"2005/09"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Oct., 2005"	"2005/10"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Nov., 2005"	"2005/11"			12	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2006"	"2006/02"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2006"	"2006/03"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2006"	"2006/04"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"May, 2006"	"2006/05"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Nov., 2006"	"2006/11"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2007"	"2007/01"			12	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jul., 2007"	"2007/07"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Aug., 2007"	"2007/08"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 2007"	"2007/12"			13	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2008"	"2008/01"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2008"	"2008/02"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2008"	"2008/03"			17	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Apr., 2008"	"2008/04"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Oct., 2008"	"2008/10"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Nov., 2008"	"2008/11"			10	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Dec., 2008"	"2008/12"			14	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Jan., 2009"	"2009/01"			11	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Feb., 2009"	"2009/02"			15	Not Applicable	Not Applicable
"Total"	"Androscoggin County, ME"	"23001"	"Mar., 2009"	"2009/03"			16	Not Applicable	Not Applicable
