"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Benton County, WA"	"53005"	"Mar., 2002"	"2002/03"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Benton County, WA"	"53005"	"May, 2011"	"2011/05"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Benton County, WA"	"53005"	"Nov., 2011"	"2011/11"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Benton County, WA"	"53005"	"Mar., 2017"	"2017/03"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Clallam County, WA"	"53009"	"Jan., 2011"	"2011/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Jul., 1999"	"1999/07"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Apr., 2000"	"2000/04"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Oct., 2000"	"2000/10"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Nov., 2000"	"2000/11"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Apr., 2001"	"2001/04"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Dec., 2001"	"2001/12"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Jan., 2002"	"2002/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Apr., 2002"	"2002/04"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"May, 2002"	"2002/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Dec., 2002"	"2002/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Apr., 2003"	"2003/04"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Jul., 2003"	"2003/07"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Oct., 2003"	"2003/10"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, WA"	"53011"	"Dec., 2003"	"2003/12"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
