"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Allegheny County, PA"	"42003"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	32	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	48	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	50	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 1999"	"1999/02"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	31	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	57	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	51	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 1999"	"1999/03"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	28	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	67	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	69	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 1999"	"1999/04"	"55-64 years"	"55-64"	14	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	35	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	49	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	48	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	19	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 1999"	"1999/05"	"85+ years"	"85+"	22	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 1999"	"1999/06"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 1999"	"1999/06"	"65-74 years"	"65-74"	28	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 1999"	"1999/06"	"85+ years"	"85+"	32	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 1999"	"1999/07"	"65-74 years"	"65-74"	16	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 1999"	"1999/07"	"75-84 years"	"75-84"	35	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 1999"	"1999/07"	"85+ years"	"85+"	21	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 1999"	"1999/08"	"65-74 years"	"65-74"	17	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 1999"	"1999/08"	"85+ years"	"85+"	25	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Sep., 1999"	"1999/09"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	29	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Sep., 1999"	"1999/09"	"85+ years"	"85+"	38	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	43	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	40	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Nov., 1999"	"1999/11"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	48	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Nov., 1999"	"1999/11"	"85+ years"	"85+"	46	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Dec., 1999"	"1999/12"	"65-74 years"	"65-74"	29	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	62	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Dec., 1999"	"1999/12"	"85+ years"	"85+"	37	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 2000"	"2000/01"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 2000"	"2000/01"	"65-74 years"	"65-74"	37	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	72	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	71	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 2000"	"2000/02"	"65-74 years"	"65-74"	24	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 2000"	"2000/02"	"75-84 years"	"75-84"	52	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Feb., 2000"	"2000/02"	"85+ years"	"85+"	38	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 2000"	"2000/03"	"65-74 years"	"65-74"	22	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 2000"	"2000/03"	"75-84 years"	"75-84"	43	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Mar., 2000"	"2000/03"	"85+ years"	"85+"	39	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 2000"	"2000/04"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 2000"	"2000/04"	"65-74 years"	"65-74"	25	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 2000"	"2000/04"	"75-84 years"	"75-84"	38	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Apr., 2000"	"2000/04"	"85+ years"	"85+"	27	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 2000"	"2000/05"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 2000"	"2000/05"	"75-84 years"	"75-84"	48	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"May, 2000"	"2000/05"	"85+ years"	"85+"	40	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 2000"	"2000/06"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 2000"	"2000/06"	"75-84 years"	"75-84"	49	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jun., 2000"	"2000/06"	"85+ years"	"85+"	25	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 2000"	"2000/07"	"65-74 years"	"65-74"	20	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 2000"	"2000/07"	"75-84 years"	"75-84"	40	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Jul., 2000"	"2000/07"	"85+ years"	"85+"	30	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 2000"	"2000/08"	"65-74 years"	"65-74"	18	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 2000"	"2000/08"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Aug., 2000"	"2000/08"	"85+ years"	"85+"	38	Not Applicable	Not Applicable
	"Allegheny County, PA"	"42003"	"Sep., 2000"	"2000/09"	"65-74 years"	"65-74"	21	Not Applicable	Not Applicable
